timestamp,vessel_count,vessel_avg_speed
2025-08-20 06:27:00,12,2.408333
2025-08-20 06:30:00,30,1.023333
2025-08-20 06:33:00,3903,2.840430
2025-08-20 06:36:00,5821,3.025631
2025-08-20 06:39:00,5900,2.931915
2025-08-20 06:42:00,5950,2.928857
2025-08-20 06:45:00,6218,2.907253
2025-08-20 06:48:00,6760,2.893225
2025-08-20 06:51:00,6325,2.918625
2025-08-20 06:54:00,5925,2.957451
2025-08-20 06:57:00,6378,2.917592
2025-08-20 07:00:00,6106,2.970750
2025-08-20 07:03:00,6382,2.890646
2025-08-20 07:06:00,6582,2.889152
2025-08-20 07:09:00,5659,2.844089
2025-08-20 07:12:00,5771,2.902703
2025-08-20 07:15:00,5915,2.704125
2025-08-20 07:18:00,6116,2.713424
2025-08-20 07:21:00,6487,2.763928
2025-08-20 07:24:00,6512,2.617460
2025-08-20 07:27:00,4923,2.509385
2025-08-20 07:30:00,6447,2.509446
2025-08-20 07:33:00,6723,2.539625
2025-08-20 07:36:00,5861,2.521140
2025-08-20 07:39:00,5625,2.505280
2025-08-20 07:42:00,5665,2.731721
2025-08-20 07:45:00,6021,2.659957
2025-08-20 07:48:00,2644,2.626324
2025-08-20 07:51:00,8683,2.524796
2025-08-20 07:54:00,5614,2.625098
2025-08-20 07:57:00,5197,2.641081
2025-08-20 08:00:00,5459,2.675838
2025-08-20 08:03:00,5447,2.781513
2025-08-20 08:06:00,5567,2.830483
2025-08-20 08:09:00,5513,2.742590
2025-08-20 08:12:00,5221,2.743842
2025-08-20 08:15:00,5294,2.717888
2025-08-20 08:18:00,5256,2.716876
2025-08-20 08:21:00,4976,2.755969
2025-08-20 08:24:00,5020,2.685020
2025-08-20 08:27:00,5672,2.799436
2025-08-20 08:30:00,4874,2.810956
2025-08-20 08:33:00,4933,2.851693
2025-08-20 08:36:00,4757,2.599559
2025-08-20 08:39:00,4941,2.708298
2025-08-20 08:42:00,4886,2.564572
2025-08-20 08:45:00,4815,2.525566
2025-08-20 08:48:00,4944,2.371440
2025-08-20 08:51:00,4892,2.369624
2025-08-20 08:54:00,5193,2.538302
2025-08-20 08:57:00,4784,2.491116
2025-08-20 09:00:00,5439,2.530281
2025-08-20 09:03:00,5072,2.553017
2025-08-20 09:06:00,5449,2.370288
2025-08-20 09:09:00,5285,2.190255
2025-08-20 09:12:00,4655,2.309280
2025-08-20 09:15:00,5883,2.381642
2025-08-20 09:18:00,5561,2.297195
2025-08-20 09:21:00,5493,2.283616
2025-08-20 09:24:00,5345,2.278073
2025-08-20 09:27:00,5691,2.270163
2025-08-20 09:30:00,5571,2.276683
2025-08-20 09:33:00,5560,2.328813
2025-08-20 09:36:00,5595,2.286309
2025-08-20 09:39:00,5661,2.235365
2025-08-20 09:42:00,6155,2.394833
2025-08-20 09:45:00,6139,2.316631
2025-08-20 09:48:00,11155,2.267360
2025-08-20 09:51:00,17097,2.161098
2025-08-20 09:54:00,18807,2.131058
2025-08-20 09:57:00,18798,2.210294
2025-08-20 10:00:00,19578,2.205991
2025-08-20 10:03:00,19521,2.030429
2025-08-20 10:06:00,20925,2.142495
2025-08-20 10:09:00,21339,2.218965
2025-08-20 10:12:00,21669,2.309345
2025-08-20 10:15:00,21918,2.217807
2025-08-20 10:18:00,21702,2.180094
2025-08-20 10:21:00,22605,2.292820
2025-08-20 10:24:00,22230,2.182591
2025-08-20 10:27:00,22710,2.180885
2025-08-20 10:30:00,21993,2.189906
2025-08-20 10:33:00,22200,2.236581
2025-08-20 10:36:00,22320,2.234798
2025-08-20 10:39:00,21576,2.233760
2025-08-20 10:42:00,24702,2.223537
2025-08-20 10:45:00,22734,2.205384
2025-08-20 10:48:00,22977,2.227719
2025-08-20 10:51:00,23262,2.173046
2025-08-20 10:54:00,23496,2.178409
2025-08-20 10:57:00,23793,2.093506
2025-08-20 11:00:00,23622,2.089357
2025-08-20 11:03:00,24387,2.187182
2025-08-20 11:06:00,23889,2.027163
2025-08-20 11:09:00,24288,2.128668
2025-08-20 11:12:00,25122,2.056914
2025-08-20 11:15:00,23265,2.058956
2025-08-20 11:18:00,24381,2.086797
2025-08-20 11:21:00,24681,2.185548
2025-08-20 11:24:00,24480,2.134792
2025-08-20 11:27:00,25395,2.156751
2025-08-20 11:30:00,22425,2.112950
2025-08-20 11:33:00,27978,2.081975
2025-08-20 11:36:00,24837,2.051455
2025-08-20 11:39:00,23718,2.066962
2025-08-20 11:42:00,25554,2.138624
2025-08-20 11:45:00,24036,2.125399
2025-08-20 11:48:00,24081,2.037199
2025-08-20 11:51:00,21150,2.086979
2025-08-20 11:54:00,26055,2.054358
2025-08-20 11:57:00,23172,1.996970
2025-08-20 12:00:00,26067,2.151709
2025-08-20 12:03:00,23838,2.210508
2025-08-20 12:06:00,24042,2.117532
2025-08-20 12:09:00,23946,2.116011
2025-08-20 12:12:00,24378,2.144770
2025-08-20 12:15:00,23325,2.134521
2025-08-20 12:18:00,24720,2.110655
2025-08-20 12:21:00,24414,2.077390
2025-08-20 12:24:00,20547,2.166564
2025-08-20 12:27:00,25710,2.206324
2025-08-20 12:30:00,23805,2.177694
2025-08-20 12:33:00,24150,2.261640
2025-08-20 12:36:00,23523,2.108749
2025-08-20 12:39:00,22761,2.098247
2025-08-20 12:42:00,23622,2.097777
2025-08-20 12:45:00,23223,2.184834
2025-08-20 12:48:00,22158,2.284484
2025-08-20 12:51:00,26160,2.203624
2025-08-20 12:54:00,24015,2.124060
2025-08-20 12:57:00,23625,2.102895
2025-08-20 13:00:00,23190,2.145614
2025-08-20 13:03:00,23853,2.180619
2025-08-20 13:06:00,23559,2.197670
2025-08-20 13:09:00,23310,2.177503
2025-08-20 13:12:00,23190,2.268875
2025-08-20 13:15:00,23292,2.309557
2025-08-20 13:18:00,22041,2.245747
2025-08-20 13:21:00,22614,2.240634
2025-08-20 13:24:00,21831,2.315336
2025-08-20 13:27:00,20688,2.188283
2025-08-20 13:30:00,20793,2.192873
2025-08-20 13:33:00,19239,2.195228
2025-08-20 13:36:00,19413,2.288286
2025-08-20 13:39:00,19677,2.152981
2025-08-20 13:42:00,19776,2.281614
2025-08-20 13:45:00,19125,2.258290
2025-08-20 13:48:00,18762,2.195747
2025-08-20 13:51:00,19413,2.300124
2025-08-20 13:54:00,17991,2.341688
2025-08-20 13:57:00,17307,2.473080
2025-08-20 14:00:00,19488,2.393966
2025-08-20 14:03:00,18846,2.286756
2025-08-20 14:06:00,19968,2.379011
2025-08-20 14:09:00,17994,2.405669
2025-08-20 14:12:00,19935,2.551512
2025-08-20 14:15:00,18411,2.699674
2025-08-20 14:18:00,19263,2.663152
2025-08-20 14:21:00,19719,2.664354
2025-08-20 14:24:00,18321,2.494635
2025-08-20 14:27:00,17623,2.530977
2025-08-20 14:30:00,12080,2.580315
2025-08-20 14:33:00,13374,2.743248
2025-08-20 14:36:00,13016,2.468039
2025-08-20 14:39:00,12252,2.474551
2025-08-20 14:42:00,12960,2.576698
2025-08-20 14:45:00,12832,2.636128
2025-08-20 14:48:00,12552,2.713432
2025-08-20 14:51:00,11000,2.866818
2025-08-20 14:54:00,13674,2.827132
2025-08-20 14:57:00,12384,2.721786
2025-08-20 15:00:00,11560,2.617405
2025-08-20 15:03:00,13082,2.619141
2025-08-20 15:06:00,11634,2.579852
2025-08-20 15:09:00,12290,2.727193
2025-08-20 15:12:00,12602,2.838042
2025-08-20 15:15:00,12138,2.750997
2025-08-20 15:18:00,12148,2.784557
2025-08-20 15:21:00,12244,2.755488
2025-08-20 15:24:00,11580,2.771382
