timestamp,traffic_level_mean
2025-08-20 14:18:00,0.714309
2025-08-20 14:21:00,0.714309
2025-08-20 14:24:00,0.714309
2025-08-20 14:27:00,0.714309
2025-08-20 14:30:00,0.714309
2025-08-20 14:33:00,0.714309
2025-08-20 14:36:00,0.714309
2025-08-20 14:39:00,0.714309
2025-08-20 14:42:00,0.714309
2025-08-20 14:45:00,0.714309
2025-08-20 14:48:00,0.707970
2025-08-20 14:51:00,0.702521
2025-08-20 14:54:00,0.706223
2025-08-20 14:57:00,0.705498
2025-08-20 15:00:00,0.700456
2025-08-20 15:03:00,0.702727
2025-08-20 15:06:00,0.701213
2025-08-20 15:09:00,0.698006
2025-08-20 15:12:00,0.696232
2025-08-20 15:15:00,0.698277
2025-08-20 15:18:00,0.698752
2025-08-20 15:21:00,0.700623
2025-08-20 15:24:00,0.700219
2025-08-20 15:27:00,0.697810
2025-08-20 15:30:00,0.695340
2025-08-20 15:33:00,0.697882
2025-08-20 15:36:00,0.703993
2025-08-20 15:39:00,0.698392
2025-08-20 15:42:00,0.703379
2025-08-20 15:45:00,0.703201
2025-08-20 15:48:00,0.708853
2025-08-20 15:51:00,0.708714
2025-08-20 15:54:00,0.705572
2025-08-20 15:57:00,0.709992
2025-08-20 16:00:00,0.716649
2025-08-20 16:03:00,0.716389
2025-08-20 16:06:00,0.722247
2025-08-20 16:09:00,0.720321
2025-08-20 16:12:00,0.727645
2025-08-20 16:15:00,0.725591
2025-08-20 16:18:00,0.729663
2025-08-20 16:21:00,0.738291
2025-08-20 16:24:00,0.739913
2025-08-20 16:27:00,0.743825
2025-08-20 16:30:00,0.755718
2025-08-20 16:33:00,0.756619
2025-08-20 16:36:00,0.755838
2025-08-20 16:39:00,0.761447
2025-08-20 16:42:00,0.764193
2025-08-20 16:45:00,0.764442
2025-08-20 16:48:00,0.768754
2025-08-20 16:51:00,0.774668
2025-08-20 16:54:00,0.778942
2025-08-20 16:57:00,0.784820
2025-08-20 17:00:00,0.787878
2025-08-20 17:03:00,0.789954
2025-08-20 17:06:00,0.786064
2025-08-20 17:09:00,0.786014
2025-08-20 17:12:00,0.797118
2025-08-20 17:15:00,0.808487
2025-08-20 17:18:00,0.804842
2025-08-20 17:21:00,0.809591
2025-08-20 17:24:00,0.814085
2025-08-20 17:27:00,0.821444
2025-08-20 17:30:00,0.818252
2025-08-20 17:33:00,0.824112
2025-08-20 17:36:00,0.832565
2025-08-20 17:39:00,0.839564
2025-08-20 17:42:00,0.845542
2025-08-20 17:45:00,0.850854
2025-08-20 17:48:00,0.847636
2025-08-20 17:51:00,0.850683
2025-08-20 17:54:00,0.851344
2025-08-20 17:57:00,0.855011
2025-08-20 18:00:00,0.856062
2025-08-20 18:03:00,0.860054
2025-08-20 18:06:00,0.866019
2025-08-20 18:09:00,0.868452
2025-08-20 18:12:00,0.869723
2025-08-20 18:15:00,0.878789
2025-08-20 18:18:00,0.880788
2025-08-20 18:21:00,0.881158
2025-08-20 18:24:00,0.878027
2025-08-20 18:27:00,0.884481
2025-08-20 18:30:00,0.890957
2025-08-20 18:33:00,0.885997
2025-08-20 18:36:00,0.884964
2025-08-20 18:39:00,0.884907
2025-08-20 18:42:00,0.885383
2025-08-20 18:45:00,0.884146
2025-08-20 18:48:00,0.892230
2025-08-20 18:51:00,0.895966
2025-08-20 18:54:00,0.894135
2025-08-20 18:57:00,0.891212
2025-08-20 19:00:00,0.886095
2025-08-20 19:03:00,0.878195
2025-08-20 19:06:00,0.887411
2025-08-20 19:09:00,0.894538
2025-08-20 19:12:00,0.890502
2025-08-20 19:15:00,0.887005
2025-08-20 19:18:00,0.890147
2025-08-20 19:21:00,0.892049
2025-08-20 19:24:00,0.891521
2025-08-20 19:27:00,0.883859
2025-08-20 19:30:00,0.885451
2025-08-20 19:33:00,0.881791
2025-08-20 19:36:00,0.882537
2025-08-20 19:39:00,0.883016
2025-08-20 19:42:00,0.886618
2025-08-20 19:45:00,0.889898
2025-08-20 19:48:00,0.887036
2025-08-20 19:51:00,0.893263
2025-08-20 19:54:00,0.888288
2025-08-20 19:57:00,0.889690
2025-08-20 20:00:00,0.885290
2025-08-20 20:03:00,0.891280
2025-08-20 20:06:00,0.897575
2025-08-20 20:09:00,0.898460
2025-08-20 20:12:00,0.903426
2025-08-20 20:15:00,0.905317
2025-08-20 20:18:00,0.899084
2025-08-20 20:21:00,0.898275
2025-08-20 20:24:00,0.902756
2025-08-20 20:27:00,0.904968
2025-08-20 20:30:00,0.908719
2025-08-20 20:33:00,0.911407
2025-08-20 20:36:00,0.910586
2025-08-20 20:39:00,0.907785
2025-08-20 20:42:00,0.912022
2025-08-20 20:45:00,0.913110
2025-08-20 20:48:00,0.914678
2025-08-20 20:51:00,0.918377
2025-08-20 20:54:00,0.918839
2025-08-20 20:57:00,0.915521
2025-08-20 21:00:00,0.913661
2025-08-20 21:03:00,0.917928
2025-08-20 21:06:00,0.917864
2025-08-20 21:09:00,0.916417
2025-08-20 21:12:00,0.917350
2025-08-20 21:15:00,0.914978
2025-08-20 21:18:00,0.914236
2025-08-20 21:21:00,0.920378
2025-08-20 21:24:00,0.925849
2025-08-20 21:27:00,0.929169
2025-08-20 21:30:00,0.935301
2025-08-20 21:33:00,0.938759
2025-08-20 21:36:00,0.937817
2025-08-20 21:39:00,0.933195
2025-08-20 21:42:00,0.934127
2025-08-20 21:45:00,0.936572
2025-08-20 21:48:00,0.936632
2025-08-20 21:51:00,0.936832
2025-08-20 21:54:00,0.939418
2025-08-20 21:57:00,0.942302
2025-08-20 22:00:00,0.943323
2025-08-20 22:03:00,0.944842
2025-08-20 22:06:00,0.949550
2025-08-20 22:09:00,0.947163
2025-08-20 22:12:00,0.947755
2025-08-20 22:15:00,0.948081
2025-08-20 22:18:00,0.950037
2025-08-20 22:21:00,0.947772
2025-08-20 22:24:00,0.952249
2025-08-20 22:27:00,0.953506
2025-08-20 22:30:00,0.954944
2025-08-20 22:33:00,0.955180
2025-08-20 22:36:00,0.953599
2025-08-20 22:39:00,0.952867
2025-08-20 22:42:00,0.954801
2025-08-20 22:45:00,0.957947
2025-08-20 22:48:00,0.961592
2025-08-20 22:51:00,0.961621
2025-08-20 22:54:00,0.964916
2025-08-20 22:57:00,0.964278
2025-08-20 23:00:00,
2025-08-20 23:03:00,
2025-08-20 23:06:00,
2025-08-20 23:09:00,
2025-08-20 23:12:00,
2025-08-20 23:15:00,
2025-08-20 23:18:00,
2025-08-20 23:21:00,
2025-08-20 23:24:00,
2025-08-20 23:27:00,
2025-08-20 23:30:00,
2025-08-20 23:33:00,
2025-08-20 23:36:00,
2025-08-20 23:39:00,
2025-08-20 23:42:00,
2025-08-20 23:45:00,
2025-08-20 23:48:00,
2025-08-20 23:51:00,
2025-08-20 23:54:00,
2025-08-20 23:57:00,
2025-08-21 00:00:00,
2025-08-21 00:03:00,
2025-08-21 00:06:00,
2025-08-21 00:09:00,
2025-08-21 00:12:00,
2025-08-21 00:15:00,
2025-08-21 00:18:00,
2025-08-21 00:21:00,
2025-08-21 00:24:00,
2025-08-21 00:27:00,
2025-08-21 00:30:00,
2025-08-21 00:33:00,
2025-08-21 00:36:00,
2025-08-21 00:39:00,
2025-08-21 00:42:00,
2025-08-21 00:45:00,
2025-08-21 00:48:00,
2025-08-21 00:51:00,
2025-08-21 00:54:00,
2025-08-21 00:57:00,
2025-08-21 01:00:00,
2025-08-21 01:03:00,
2025-08-21 01:06:00,
2025-08-21 01:09:00,
2025-08-21 01:12:00,
2025-08-21 01:15:00,
2025-08-21 01:18:00,
2025-08-21 01:21:00,
2025-08-21 01:24:00,
2025-08-21 01:27:00,
2025-08-21 01:30:00,
2025-08-21 01:33:00,
2025-08-21 01:36:00,
2025-08-21 01:39:00,
2025-08-21 01:42:00,
2025-08-21 01:45:00,
2025-08-21 01:48:00,
2025-08-21 01:51:00,
2025-08-21 01:54:00,
2025-08-21 01:57:00,
2025-08-21 02:00:00,
2025-08-21 02:03:00,
2025-08-21 02:06:00,
2025-08-21 02:09:00,
2025-08-21 02:12:00,
2025-08-21 02:15:00,
2025-08-21 02:18:00,
2025-08-21 02:21:00,
2025-08-21 02:24:00,
2025-08-21 02:27:00,
2025-08-21 02:30:00,
2025-08-21 02:33:00,
2025-08-21 02:36:00,
2025-08-21 02:39:00,
2025-08-21 02:42:00,
2025-08-21 02:45:00,
2025-08-21 02:48:00,
2025-08-21 02:51:00,
2025-08-21 02:54:00,
2025-08-21 02:57:00,
2025-08-21 03:00:00,
2025-08-21 03:03:00,
2025-08-21 03:06:00,
2025-08-21 03:09:00,
2025-08-21 03:12:00,
2025-08-21 03:15:00,
2025-08-21 03:18:00,
2025-08-21 03:21:00,
2025-08-21 03:24:00,
2025-08-21 03:27:00,
2025-08-21 03:30:00,
2025-08-21 03:33:00,
2025-08-21 03:36:00,
2025-08-21 03:39:00,
2025-08-21 03:42:00,
2025-08-21 03:45:00,
2025-08-21 03:48:00,
2025-08-21 03:51:00,
2025-08-21 03:54:00,
2025-08-21 03:57:00,
2025-08-21 04:00:00,
2025-08-21 04:03:00,
2025-08-21 04:06:00,
2025-08-21 04:09:00,
2025-08-21 04:12:00,
2025-08-21 04:15:00,
2025-08-21 04:18:00,
2025-08-21 04:21:00,
2025-08-21 04:24:00,
2025-08-21 04:27:00,
2025-08-21 04:30:00,
2025-08-21 04:33:00,
2025-08-21 04:36:00,
2025-08-21 04:39:00,
2025-08-21 04:42:00,
2025-08-21 04:45:00,
2025-08-21 04:48:00,
2025-08-21 04:51:00,
2025-08-21 04:54:00,
2025-08-21 04:57:00,
2025-08-21 05:00:00,
2025-08-21 05:03:00,
2025-08-21 05:06:00,
2025-08-21 05:09:00,
2025-08-21 05:12:00,
2025-08-21 05:15:00,
2025-08-21 05:18:00,
2025-08-21 05:21:00,
2025-08-21 05:24:00,
2025-08-21 05:27:00,
2025-08-21 05:30:00,
2025-08-21 05:33:00,
2025-08-21 05:36:00,
2025-08-21 05:39:00,
2025-08-21 05:42:00,
2025-08-21 05:45:00,
2025-08-21 05:48:00,
2025-08-21 05:51:00,
2025-08-21 05:54:00,
2025-08-21 05:57:00,
2025-08-21 06:00:00,0.880659
2025-08-21 06:03:00,0.884080
2025-08-21 06:06:00,0.875153
2025-08-21 06:09:00,0.865929
2025-08-21 06:12:00,0.853724
2025-08-21 06:15:00,0.850513
2025-08-21 06:18:00,0.841183
2025-08-21 06:21:00,0.837352
2025-08-21 06:24:00,0.828077
2025-08-21 06:27:00,0.819364
2025-08-21 06:30:00,0.819634
2025-08-21 06:33:00,0.814482
2025-08-21 06:36:00,0.807759
2025-08-21 06:39:00,0.797346
2025-08-21 06:42:00,0.786766
2025-08-21 06:45:00,0.776300
2025-08-21 06:48:00,0.769609
2025-08-21 06:51:00,0.765512
2025-08-21 06:54:00,0.765687
2025-08-21 06:57:00,0.770954
2025-08-21 07:00:00,0.770388
2025-08-21 07:03:00,0.769067
2025-08-21 07:06:00,0.769736
2025-08-21 07:09:00,0.771198
2025-08-21 07:12:00,0.770672
2025-08-21 07:15:00,0.769485
2025-08-21 07:18:00,0.767476
2025-08-21 07:21:00,0.769244
2025-08-21 07:24:00,0.768376
2025-08-21 07:27:00,0.764375
2025-08-21 07:30:00,0.767959
2025-08-21 07:33:00,0.774416
2025-08-21 07:36:00,0.775641
2025-08-21 07:39:00,0.774552
2025-08-21 07:42:00,0.765631
2025-08-21 07:45:00,0.765703
